Year,Average population,Live births,Deaths,Natural change,"Birth rate (per 1,000)","Death rate (per 1,000)","Natural change (per 1,000)",Total Fertility Rate
1967,"20,412,000","370,894","150,283","220,611",18.2,7.4,10.8,2.528
1968,"20,744,000","364,310","153,196","211,114",17.6,7.4,10.2,2.386
1969,"21,028,000","369,647","154,477","215,170",17.6,7.3,10.2,2.334
1970,"21,324,000","371,988","155,961","216,027",17.4,7.3,10.1,2.258
1971,"21,962,000","362,187","157,272","204,915",16.7,7.3,9.5,2.141
1972,"22,218,000","347,319","162,413","184,906",15.8,7.4,8.4,1.98
1973,"22,492,000","343,373","164,039","179,334",15.4,7.4,8.1,1.89
1974,"22,808,000","350,650","166,794","178,851",15.3,7.4,7.9,1.837
1975,"23,143,000","359,323","167,176","191,919",15.6,7.3,8.3,1.824
1976,"23,450,000","359,987","167,009","192,978",15.4,7.2,8.3,1.796
1977,"23,726,000","361,400","167,498","193,902",15.3,7.1,8.2,1.782
1978,"23,963,000","358,852","168,179","190,673",15,7,8,1.768
1979,"24,202,000","366,064","168,183","197,881",15.1,6.9,8.2,1.754
1980,"24,516,000","370,709","171,473","199,236",15.1,7,8.1,1.74
1981,"24,820,000","371,346","171,029","200,317",14.9,6.8,8,1.7
1982,"25,117,000","373,082","174,413","198,669",14.8,6.9,7.9,1.69
1983,"25,367,000","373,689","174,484","199,205",14.6,6.8,7.8,1.68
1984,"25,608,000","377,031","175,727","201,304",14.6,6.8,7.8,1.65
1985,"25,843,000","375,727","181,323","194,404",14.4,7,7.5,1.67
1986,"26,101,000","372,913","184,224","188,689",14.3,7.1,7.2,1.675
1987,"26,449,000","369,742","184,953","184,789",14,7,7,1.68
1988,"26,795,000","376,795","190,011","186,784",14.1,7.1,7,1.68
1989,"27,282,000","392,661","190,965","201,696",14.4,7,7.4,1.77
1990,"27,698,000","405,486","191,973","213,513",14.6,6.9,7.7,1.83
1991,"28,031,000","402,533","195,569","206,964",14.4,7,7.4,1.7
1992,"28,367,000","398,643","196,535","202,108",14.1,6.9,7.1,1.71
1993,"28,682,000","388,394","204,912","183,482",13.5,7.1,6.4,1.7
1994,"28,999,000","385,114","207,077","178,037",13.3,7.1,6.1,1.67
1995,"29,302,000","378,016","210,733","167,283",12.9,7.2,5.7,1.639
1996,"29,611,000","366,200","212,880","153,320",12.4,7.2,5.2,1.592
1997,"29,907,000","348,598","215,669","132,929",11.7,7.2,4.4,1.55
1998,"30,157,000","342,418","218,091","124,327",11.4,7.2,4.1,1.53
1999,"30,404,000","337,249","219,530","117,719",11.1,7.2,3.9,1.51
2000,"30,689,000","327,882","218,062","109,820",10.7,7.1,3.6,1.49
2001,"31,021,000","333,744","219,538","114,206",10.8,7.1,3.7,1.505
2002,"31,373,000","328,802","223,603","105,199",10.5,7.1,3.4,1.52
2003,"31,676,000","335,202","226,169","109,033",10.6,7.1,3.4,1.53
2004,"31,941,000","337,072","226,584","110,488",10.6,7.1,3.5,1.53
2005,"32,245,000","342,176","230,132","112,044",10.6,7.1,3.5,1.54
2006,"32,576,000","354,617","228,079","126,538",10.9,7,3.9,1.586
2007,"32,930,000","367,864","235,217","132,647",11.2,7.1,4,1.659
2008,"33,318,000","377,886","238,617","139,269",11.3,7.2,4.2,1.681
2009,"33,727,000","380,863","242,277","138,586",11.3,7.2,4.1,1.668
2010,"34,127,000","377,213","247,926","129,287",11.1,7.3,3.8,1.627
2011,"34,484,000","377,636","254,731","122,905",11,7.4,3.6,1.61
2012,"34,880,000","381,869","256,965","124,904",10.9,7.4,3.6,1.614
2013,"35,293,000","380,323","252,338","127,985",10.8,7.3,3.5,1.587
2014,"35,667,000","384,100","258,821","125,279",10.8,7.3,3.5,1.582
2015,"35,981,000","382,392","264,333","118,059",10.6,7.3,3.3,1.563
2016,"36,503,000","383,102","267,213","115,889",10.5,7.3,3.2,1.543
2017,"36,963,000","376,308","276,649","99,659",10.2,7.5,2.7,1.496
2018,"37,242,000","374,049","283,720","90,329",10.1,7.6,2.5,1.499
2019,"37,797,500","372,038","290,404","81,634",9.9,7.7,2.2,1.468
2020,"38,048,738","372,727","309,893","62,834",9.6,8,1.6,
