marker,lg,cM
Lcu.2RBY.Chr1p531288073,LG1,115.541
Lcu.2RBY.Chr1p537087195,LG1,116.89
Lcu.2RBY.Chr2p1445811,LG2,0
Lcu.2RBY.Chr2p1625647,LG2,0.493
Lcu.2RBY.Chr2p3204489,LG2,4.936
Lcu.2RBY.Chr2p3955439,LG2,8.47
Lcu.2RBY.Chr2p6063672,LG2,14.185
Lcu.2RBY.Chr2p6573390,LG2,15.453
Lcu.2RBY.Chr2p7892959,LG2,17.163
Lcu.2RBY.Chr2p7847265,LG2,17.855
Lcu.2RBY.Chr2p8718338,LG2,19.267
Lcu.2RBY.Chr2p10991971,LG2,23.771
Lcu.2RBY.Chr2p11344015,LG2,24.276
Lcu.2RBY.unitig0930p1098540,LG2,27.575
Lcu.2RBY.unitig0930p203028,LG2,27.589
Lcu.2RBY.unitig0930p1098322,LG2,27.618
Lcu.2RBY.unitig0930p203234,LG2,27.993
Lcu.2RBY.Chr2p14616947,LG2,28.314
Lcu.2RBY.Chr2p16260784,LG2,31.928
Lcu.2RBY.Chr2p18779003,LG2,34.087
Lcu.2RBY.Chr2p18779124,LG2,34.087
Lcu.2RBY.Chr2p24848930,LG2,40.293
Lcu.2RBY.Chr2p23916162,LG2,40.767
Lcu.2RBY.Chr2p27589080,LG2,41.713
Lcu.2RBY.Chr2p27955872,LG2,42.185
Lcu.2RBY.Chr2p32310996,LG2,44.217
Lcu.2RBY.Chr2p34860512,LG2,45.013
Lcu.2RBY.Chr2p57058941,LG2,54.373
Lcu.2RBY.Chr2p59254705,LG2,55.639
Lcu.2RBY.Chr2p62508245,LG2,56.051
Lcu.2RBY.Chr2p81567733,LG2,57.154
Lcu.2RBY.unitig2166p321680,LG2,57.92
Lcu.2RBY.Chr2p111136053,LG2,58.159
Lcu.2RBY.Chr2p132125172,LG2,58.57
Lcu.2RBY.Chr2p145633124,LG2,59.288
Lcu.2RBY.Chr2p145632998,LG2,59.335
Lcu.2RBY.Chr2p145633011,LG2,59.39
Lcu.2RBY.Chr2p145633179,LG2,59.471
Lcu.2RBY.Chr2p190230306,LG2,62.942
Lcu.2RBY.Chr2p190230260,LG2,62.966
Lcu.2RBY.Chr2p191156764,LG2,63.035
Lcu.2RBY.Chr2p181246612,LG2,63.806
Lcu.2RBY.Chr2p211780041,LG2,64.357
Lcu.2RBY.unitig1467p752791,LG2,64.9
Lcu.2RBY.Chr2p252386758,LG2,65.466
Lcu.2RBY.Chr2p348447181,LG2,69.058
Lcu.2RBY.Chr5p400476001,LG2,70.306
Lcu.2RBY.unitig0029p783988,LG2,70.321
Lcu.2RBY.Chr5p347461202,LG2,70.321
Lcu.2RBY.Chr5p415330323,LG2,70.912
Lcu.2RBY.Chr5p428451768,LG2,74.296
Lcu.2RBY.Chr5p428326276,LG2,74.296
Lcu.2RBY.Chr5p448823348,LG2,91.038
Lcu.2RBY.Chr5p455847742,LG2,93.955
Lcu.2RBY.Chr5p456322042,LG2,94.575
Lcu.2RBY.Chr5p460896747,LG2,100.647
Lcu.2RBY.Chr5p460896585,LG2,100.647
Lcu.2RBY.Chr5p466045936,LG2,106.376
Lcu.2RBY.Chr5p468561036,LG2,110.852
Lcu.2RBY.Chr5p468634710,LG2,111.289
Lcu.2RBY.Chr5p472264979,LG2,124.291
Lcu.2RBY.Chr5p472265011,LG2,124.291
Lcu.2RBY.Chr5p472805344,LG2,129.456
Lcu.2RBY.Chr5p473686119,LG2,134.89
Lcu.2RBY.Chr5p473686374,LG2,134.89
Lcu.2RBY.Chr5p474268671,LG2,134.89
Lcu.2RBY.Chr5p473686170,LG2,135.301
Lcu.2RBY.Chr5p474268888,LG2,135.301
Lcu.2RBY.Chr5p473229552,LG2,136.861
Lcu.2RBY.Chr5p1553348,LG2,222.412
Lcu.2RBY.Chr5p2422020,LG2,226.805
Lcu.2RBY.Chr5p2565334,LG2,226.809
Lcu.2RBY.Chr5p3167039,LG2,230.571
Lcu.2RBY.Chr5p3476315,LG2,231.764
Lcu.2RBY.Chr5p4051494,LG2,236.468
Lcu.2RBY.Chr5p4208708,LG2,236.959
Lcu.2RBY.Chr5p5626034,LG2,244.284
Lcu.2RBY.Chr5p5748923,LG2,244.722
Lcu.2RBY.Chr5p6276899,LG2,246.058
Lcu.2RBY.Chr5p6276996,LG2,246.058
Lcu.2RBY.Chr5p9514724,LG2,253.704
Lcu.2RBY.Chr5p11078311,LG2,256.434
Lcu.2RBY.Chr5p11705630,LG2,257.904
Lcu.2RBY.Chr5p17089708,LG2,266.191
Lcu.2RBY.Chr5p16043755,LG2,266.602
Lcu.2RBY.Chr5p17146224,LG2,267.562
Lcu.2RBY.Chr5p20498191,LG2,270.056
Lcu.2RBY.Chr5p20931950,LG2,270.056
Lcu.2RBY.Chr5p20598116,LG2,270.056
Lcu.2RBY.Chr5p22770628,LG2,271.32
Lcu.2RBY.Chr5p22770670,LG2,271.32
Lcu.2RBY.Chr5p23325951,LG2,273.026
Lcu.2RBY.Chr5p25675311,LG2,275.653
Lcu.2RBY.Chr5p28389586,LG2,276.763
Lcu.2RBY.Chr5p29048789,LG2,277.325
Lcu.2RBY.Chr5p33764817,LG2,278.588
Lcu.2RBY.Chr5p33646154,LG2,278.588
Lcu.2RBY.Chr5p35800226,LG2,278.588
Lcu.2RBY.Chr5p38880837,LG2,280.755
Lcu.2RBY.Chr5p38173385,LG2,281.233
Lcu.2RBY.Chr5p46083898,LG2,281.584
Lcu.2RBY.Chr5p46086838,LG2,281.584
Lcu.2RBY.Chr5p70238008,LG2,282.416
Lcu.2RBY.Chr5p60630666,LG2,282.416
Lcu.2RBY.Chr5p119848476,LG2,283.249
Lcu.2RBY.Chr5p167573249,LG2,283.662
Lcu.2RBY.Chr5p324351425,LG2,283.897
Lcu.2RBY.Chr5p402738039,LG2,284.073
Lcu.2RBY.Chr2p393966359,LG2,284.484
Lcu.2RBY.Chr2p417536510,LG2,285.316
Lcu.2RBY.Chr2p417853687,LG2,285.55
Lcu.2RBY.Chr2p406138960,LG2,285.725
Lcu.2RBY.Chr2p407532450,LG2,285.725
Lcu.2RBY.Chr2p437951353,LG2,288.35
Lcu.2RBY.Chr2p449047634,LG2,291.02
Lcu.2RBY.Chr2p469934576,LG2,292.261
Lcu.2RBY.Chr2p470430270,LG2,292.267
Lcu.2RBY.Chr2p494849991,LG2,294.906
Lcu.2RBY.Chr2p521018293,LG2,296.632
Lcu.2RBY.Chr2p526778368,LG2,297.052
Lcu.2RBY.Chr2p533719472,LG2,298.336
Lcu.2RBY.Chr2p562234933,LG2,303.948
Lcu.2RBY.unitig2997p89463,LG2,304.453
Lcu.2RBY.unitig2997p89166,LG2,304.453
Lcu.2RBY.Chr2p575919320,LG2,304.694
Lcu.2RBY.Chr2p575919359,LG2,304.899
Lcu.2RBY.unitig2997p89286,LG2,304.913
Lcu.2RBY.Chr2p577036004,LG2,306.234
Lcu.2RBY.Chr2p589990581,LG2,312.392
Lcu.2RBY.Chr2p592190747,LG2,315.05
Lcu.2RBY.Chr2p593770512,LG2,317.021
Lcu.2RBY.Chr2p597726009,LG2,323.048
Lcu.2RBY.Chr2p597860361,LG2,323.91
Lcu.2RBY.Chr2p597860416,LG2,323.916
Lcu.2RBY.Chr2p597860462,LG2,323.916
Lcu.2RBY.Chr2p599269810,LG2,325.622
Lcu.2RBY.Chr2p601603351,LG2,329.717
Lcu.2RBY.Chr2p604143950,LG2,331.877
Lcu.2RBY.Chr2p605715038,LG2,333.794
Lcu.2RBY.Chr2p606285052,LG2,336.216
Lcu.2RBY.Chr2p608781302,LG2,341.972
Lcu.2RBY.Chr2p610939654,LG2,345.747
Lcu.2RBY.Chr2p610939596,LG2,345.838
Lcu.2RBY.Chr2p611846401,LG2,348.841
Lcu.2RBY.Chr2p611846384,LG2,349.389
Lcu.2RBY.Chr3p2620662,LG3,0
Lcu.2RBY.Chr3p2344398,LG3,0.002
Lcu.2RBY.Chr3p2631248,LG3,0.834
Lcu.2RBY.Chr3p4746599,LG3,2.994
Lcu.2RBY.Chr3p21548472,LG3,14.419
Lcu.2RBY.Chr3p20977681,LG3,14.419
Lcu.2RBY.Chr3p33105697,LG3,19.669
Lcu.2RBY.Chr3p33105527,LG3,20.134
Lcu.2RBY.Chr3p36955209,LG3,21.541
Lcu.2RBY.Chr3p68897862,LG3,25.78
Lcu.2RBY.Chr3p74796064,LG3,27.442
Lcu.2RBY.Chr3p72912511,LG3,27.64
Lcu.2RBY.Chr3p74796338,LG3,27.972
Lcu.2RBY.Chr3p77639167,LG3,27.974
Lcu.2RBY.Chr3p84499392,LG3,28.597
Lcu.2RBY.Chr3p95995900,LG3,29.228
Lcu.2RBY.Chr3p116112885,LG3,30.501
Lcu.2RBY.Chr3p128261066,LG3,30.719
Lcu.2RBY.Chr3p117272087,LG3,30.922
Lcu.2RBY.Chr3p149748048,LG3,31.788
Lcu.2RBY.Chr3p149236635,LG3,31.788
Lcu.2RBY.Chr3p149748190,LG3,31.788
Lcu.2RBY.Chr3p149748040,LG3,32.373
Lcu.2RBY.Chr3p191180091,LG3,36.364
Lcu.2RBY.Chr3p194052346,LG3,36.83
Lcu.2RBY.Chr3p196567576,LG3,38.229
Lcu.2RBY.Chr3p196567397,LG3,38.229
Lcu.2RBY.Chr3p196567357,LG3,38.229
Lcu.2RBY.Chr3p223050973,LG3,40.65
Lcu.2RBY.Chr3p228523998,LG3,43.064
Lcu.2RBY.Chr3p235929984,LG3,46.175
Lcu.2RBY.Chr3p239179204,LG3,47.441
Lcu.2RBY.Chr3p245664403,LG3,48.705
Lcu.2RBY.Chr3p246138366,LG3,48.705
Lcu.2RBY.Chr3p246138241,LG3,49.116
Lcu.2RBY.Chr3p250191654,LG3,50.382
Lcu.2RBY.Chr3p256108989,LG3,52.091
Lcu.2RBY.Chr3p255109549,LG3,52.091
Lcu.2RBY.Chr3p256108860,LG3,52.502
Lcu.2RBY.Chr3p256015670,LG3,52.502
Lcu.2RBY.Chr3p259089364,LG3,55.26
Lcu.2RBY.Chr3p272525373,LG3,58.503
Lcu.2RBY.Chr3p277970899,LG3,60.288
Lcu.2RBY.Chr3p275833824,LG3,60.717
Lcu.2RBY.Chr3p287239669,LG3,63.937
Lcu.2RBY.Chr3p287270277,LG3,63.937
Lcu.2RBY.Chr3p289933134,LG3,64.769
Lcu.2RBY.Chr3p295041486,LG3,66.938
Lcu.2RBY.Chr3p318353954,LG3,78.867
Lcu.2RBY.Chr3p322178024,LG3,82.599
Lcu.2RBY.Chr3p325429047,LG3,84.232
Lcu.2RBY.Chr3p326609412,LG3,84.766
Lcu.2RBY.Chr3p332897115,LG3,87.985
Lcu.2RBY.Chr3p332896981,LG3,88.59
Lcu.2RBY.Chr3p333017620,LG3,89.193
Lcu.2RBY.Chr3p334168491,LG3,90.026
Lcu.2RBY.Chr3p335604937,LG3,90.437
Lcu.2RBY.Chr3p335604818,LG3,90.437
Lcu.2RBY.Chr3p337776932,LG3,90.848
Lcu.2RBY.Chr3p338793287,LG3,90.848
Lcu.2RBY.Chr3p340655568,LG3,91.757
Lcu.2RBY.Chr3p340655570,LG3,92.208
Lcu.2RBY.Chr3p344821132,LG3,96.608
Lcu.2RBY.Chr3p346386736,LG3,97.594
Lcu.2RBY.Chr3p356512626,LG3,102.648
Lcu.2RBY.Chr3p356957656,LG3,103.078
Lcu.2RBY.Chr3p356957782,LG3,103.078
Lcu.2RBY.unitig3925p33421,LG3,103.078
Lcu.2RBY.Chr3p356872243,LG3,103.078
Lcu.2RBY.Chr3p358711390,LG3,103.28
Lcu.2RBY.Chr3p356957607,LG3,103.487
Lcu.2RBY.Chr3p356957484,LG3,103.487
Lcu.2RBY.Chr3p361681805,LG3,103.996
Lcu.2RBY.Chr3p367843671,LG3,106.055
Lcu.2RBY.Chr3p373497701,LG3,109.525
Lcu.2RBY.Chr3p377765767,LG3,110.903
Lcu.2RBY.Chr3p381594168,LG3,111.737
Lcu.2RBY.Chr3p383791966,LG3,113.017
Lcu.2RBY.Chr3p398338322,LG3,117.086
Lcu.2RBY.Chr3p395592287,LG3,117.546
Lcu.2RBY.Chr3p398338433,LG3,118.382
Lcu.2RBY.Chr3p398836726,LG3,118.382
Lcu.2RBY.Chr3p405089490,LG3,122.477
Lcu.2RBY.Chr3p405089613,LG3,122.477
Lcu.2RBY.Chr3p405494865,LG3,122.888
Lcu.2RBY.Chr3p406814338,LG3,123.945
Lcu.2RBY.Chr3p408448673,LG3,124.986
Lcu.2RBY.Chr3p408131781,LG3,124.986
Lcu.2RBY.Chr3p412065960,LG3,125.825
Lcu.2RBY.Chr3p418076357,LG3,135.443
Lcu.2RBY.Chr4p893101,LG4,0
Lcu.2RBY.Chr4p893202,LG4,0.007
Lcu.2RBY.Chr4p2873678,LG4,5.745
Lcu.2RBY.Chr4p6825876,LG4,24.62
Lcu.2RBY.Chr4p6819096,LG4,25.282
Lcu.2RBY.Chr4p6825640,LG4,25.853
Lcu.2RBY.Chr4p7224750,LG4,26.493
Lcu.2RBY.Chr4p9503126,LG4,29.101
Lcu.2RBY.Chr4p9174120,LG4,29.152
Lcu.2RBY.Chr4p22380061,LG4,44.065
Lcu.2RBY.Chr4p28230007,LG4,45.886
Lcu.2RBY.Chr4p28230238,LG4,45.893
Lcu.2RBY.Chr4p32636798,LG4,46.053
Lcu.2RBY.Chr4p32636620,LG4,46.177
Lcu.2RBY.Chr4p32634456,LG4,46.401
Lcu.2RBY.Chr4p55778129,LG4,49.707
Lcu.2RBY.Chr4p55778233,LG4,49.858
Lcu.2RBY.Chr4p55587488,LG4,49.944
Lcu.2RBY.Chr4p55778135,LG4,49.944
Lcu.2RBY.Chr4p55292499,LG4,49.944
Lcu.2RBY.Chr4p63150008,LG4,50.776
Lcu.2RBY.Chr4p65312063,LG4,50.776
Lcu.2RBY.Chr4p63150040,LG4,50.776
Lcu.2RBY.Chr4p78520847,LG4,51.212
Lcu.2RBY.Chr4p109740276,LG4,53.216
Lcu.2RBY.Chr4p150215670,LG4,54.918
Lcu.2RBY.Chr4p153486977,LG4,55.817
Lcu.2RBY.Chr4p172672067,LG4,56.401
Lcu.2RBY.Chr4p209096780,LG4,56.813
Lcu.2RBY.Chr4p180909333,LG4,56.813
Lcu.2RBY.Chr4p225939607,LG4,57.703
Lcu.2RBY.Chr4p228826500,LG4,57.739
Lcu.2RBY.Chr4p239626518,LG4,60.16
Lcu.2RBY.Chr4p256872611,LG4,61.082
Lcu.2RBY.Chr4p246431670,LG4,61.082
Lcu.2RBY.Chr4p246358175,LG4,61.082
Lcu.2RBY.Chr4p272439483,LG4,62.346
Lcu.2RBY.Chr4p272439396,LG4,62.346
Lcu.2RBY.Chr4p281797231,LG4,63.184
Lcu.2RBY.Chr4p276551698,LG4,63.209
Lcu.2RBY.Chr4p298855823,LG4,64.297
Lcu.2RBY.Chr4p293432973,LG4,64.442
Lcu.2RBY.Chr4p294654152,LG4,64.442
Lcu.2RBY.Chr4p307570850,LG4,65.133
Lcu.2RBY.Chr4p304388871,LG4,65.709
Lcu.2RBY.Chr4p304413432,LG4,65.709
Lcu.2RBY.Chr4p306037977,LG4,65.907
Lcu.2RBY.Chr4p305886872,LG4,66.117
Lcu.2RBY.Chr4p306037823,LG4,66.156
Lcu.2RBY.Chr4p310077812,LG4,67.016
Lcu.2RBY.Chr4p310077623,LG4,67.016
Lcu.2RBY.Chr4p317933982,LG4,69.57
Lcu.2RBY.Chr4p323791438,LG4,70.836
Lcu.2RBY.Chr4p328221041,LG4,72.102
Lcu.2RBY.Chr4p337549849,LG4,72.514
Lcu.2RBY.Chr4p337551940,LG4,72.514
Lcu.2RBY.Chr4p337337202,LG4,72.758
Lcu.2RBY.Chr4p340242566,LG4,73.154
Lcu.2RBY.Chr4p340242695,LG4,73.189
Lcu.2RBY.Chr4p348920293,LG4,77.416
Lcu.2RBY.Chr4p359691238,LG4,78.437
Lcu.2RBY.Chr4p357197811,LG4,78.437
Lcu.2RBY.Chr4p355007611,LG4,79.735
Lcu.2RBY.Chr4p363866352,LG4,82.019
Lcu.2RBY.Chr4p365350024,LG4,83.128
Lcu.2RBY.Chr4p371296036,LG4,85.446
Lcu.2RBY.Chr4p371144641,LG4,85.745
Lcu.2RBY.Chr4p371295379,LG4,85.982
Lcu.2RBY.Chr4p370812891,LG4,86.485
Lcu.2RBY.Chr4p373986166,LG4,86.997
Lcu.2RBY.Chr4p373749494,LG4,87.06
Lcu.2RBY.Chr4p383961812,LG4,87.882
Lcu.2RBY.Chr4p390478824,LG4,88.89
Lcu.2RBY.Chr4p390232254,LG4,90.036
Lcu.2RBY.Chr4p396725052,LG4,92.492
Lcu.2RBY.Chr4p400347215,LG4,94.391
Lcu.2RBY.Chr4p400664091,LG4,97.468
Lcu.2RBY.Chr4p402019459,LG4,98.033
Lcu.2RBY.Chr4p407320749,LG4,99.367
Lcu.2RBY.Chr4p407320460,LG4,99.381
Lcu.2RBY.Chr4p408658349,LG4,99.381
Lcu.2RBY.Chr4p407320625,LG4,99.892
Lcu.2RBY.Chr4p413790930,LG4,100.472
Lcu.2RBY.Chr4p414962079,LG4,101.547
Lcu.2RBY.Chr4p413964880,LG4,102.644
Lcu.2RBY.Chr4p416498218,LG4,103.726
Lcu.2RBY.Chr4p416497598,LG4,103.797
Lcu.2RBY.Chr4p420467951,LG4,106.68
Lcu.2RBY.Chr4p421976893,LG4,108.575
Lcu.2RBY.Chr4p422193202,LG4,109.408
Lcu.2RBY.Chr4p422193377,LG4,109.408
Lcu.2RBY.Chr4p422193184,LG4,109.408
Lcu.2RBY.Chr4p423468850,LG4,112.075
Lcu.2RBY.Chr4p422966899,LG4,112.515
Lcu.2RBY.Chr4p426604735,LG4,112.812
Lcu.2RBY.Chr4p426604790,LG4,113.096
Lcu.2RBY.Chr4p427969064,LG4,113.343
Lcu.2RBY.Chr4p424125594,LG4,113.756
Lcu.2RBY.Chr4p423596458,LG4,116.26
Lcu.2RBY.Chr4p433806901,LG4,118.077
Lcu.2RBY.Chr4p435424525,LG4,118.839
Lcu.2RBY.Chr4p434795462,LG4,119.873
Lcu.2RBY.Chr4p436598814,LG4,120.429
Lcu.2RBY.Chr4p436598858,LG4,120.626
Lcu.2RBY.Chr4p437466857,LG4,121.558
Lcu.2RBY.Chr4p441703481,LG4,123.482
Lcu.2RBY.Chr4p442304439,LG4,123.51
Lcu.2RBY.Chr4p442725044,LG4,126.174
Lcu.2RBY.Chr4p444407485,LG4,126.98
Lcu.2RBY.Chr4p444407568,LG4,127.393
Lcu.2RBY.Chr4p444992204,LG4,127.804
Lcu.2RBY.Chr4p445166741,LG4,128.215
Lcu.2RBY.Chr4p445510383,LG4,128.639
Lcu.2RBY.Chr4p447040911,LG4,129.718
Lcu.2RBY.Chr4p447049757,LG4,129.72
Lcu.2RBY.Chr4p449869660,LG4,130.046
Lcu.2RBY.Chr4p447041129,LG4,130.345
Lcu.2RBY.Chr4p457861701,LG4,134.891
Lcu.2RBY.Chr4p457861421,LG4,135.586
Lcu.2RBY.Chr4p452839551,LG4,136.308
Lcu.2RBY.Chr4p457925194,LG4,137.166
Lcu.2RBY.Chr4p459886216,LG4,140.26
Lcu.2RBY.Chr4p458622370,LG4,140.394
Lcu.2RBY.Chr4p467669137,LG4,149.586
Lcu.2RBY.Chr4p467245253,LG4,150.39
Lcu.2RBY.Chr4p467240471,LG4,150.39
Lcu.2RBY.Chr4p467642605,LG4,152.297
Lcu.2RBY.Chr4p468520676,LG4,153.956
Lcu.2RBY.Chr4p469156108,LG4,154.852
Lcu.2RBY.Chr4p469729718,LG4,154.852
Lcu.2RBY.Chr4p470762151,LG4,155.775
Lcu.2RBY.Chr4p474230077,LG4,157.129
Lcu.2RBY.Chr4p473714604,LG4,159.024
Lcu.2RBY.Chr4p474182137,LG4,159.409
Lcu.2RBY.Chr4p474182094,LG4,159.464
Lcu.2RBY.Chr4p474182080,LG4,159.57
Lcu.2RBY.Chr4p473953605,LG4,159.639
Lcu.2RBY.Chr4p474493514,LG4,159.639
Lcu.2RBY.Chr4p474493527,LG4,159.772
Lcu.2RBY.Chr4p473953571,LG4,160.05
Lcu.2RBY.Chr4p475275457,LG4,161.476
Lcu.2RBY.Chr4p475264834,LG4,161.814
Lcu.2RBY.Chr4p477117627,LG4,165.973
Lcu.2RBY.Chr4p479271760,LG4,169.66
Lcu.2RBY.Chr4p479400248,LG4,169.837
Lcu.2RBY.Chr4p479400333,LG4,170.059
Lcu.2RBY.Chr6p4216524,LG6,0
Lcu.2RBY.Chr6p4216303,LG6,0
Lcu.2RBY.Chr6p16933382,LG6,26.315
Lcu.2RBY.Chr6p16933195,LG6,26.315
Lcu.2RBY.Chr6p31500543,LG6,32.573
Lcu.2RBY.Chr6p54682443,LG6,34.737
Lcu.2RBY.Chr6p76379296,LG6,36.003
Lcu.2RBY.Chr6p83540986,LG6,36.835
Lcu.2RBY.Chr6p83540877,LG6,37.246
Lcu.2RBY.Chr6p88957848,LG6,37.66
Lcu.2RBY.Chr6p138479201,LG6,38.071
Lcu.2RBY.Chr6p106132915,LG6,38.071
Lcu.2RBY.Chr6p106132992,LG6,38.071
Lcu.2RBY.Chr6p143705006,LG6,38.071
Lcu.2RBY.Chr6p156471386,LG6,38.482
Lcu.2RBY.Chr6p221823017,LG6,41.109
Lcu.2RBY.Chr6p226468346,LG6,41.523
Lcu.2RBY.Chr6p243274972,LG6,42.789
Lcu.2RBY.Chr6p256887884,LG6,43.79
Lcu.2RBY.Chr6p265329531,LG6,45.336
Lcu.2RBY.unitig3460p155559,LG6,47.829
Lcu.2RBY.Chr6p275548097,LG6,48.798
Lcu.2RBY.Chr6p281022101,LG6,49.86
Lcu.2RBY.Chr6p283193096,LG6,50.388
Lcu.2RBY.Chr6p285752875,LG6,50.889
Lcu.2RBY.Chr6p285752763,LG6,50.889
Lcu.2RBY.Chr6p283720750,LG6,50.891
Lcu.2RBY.Chr6p294754771,LG6,52.595
Lcu.2RBY.Chr6p294754942,LG6,52.595
Lcu.2RBY.Chr6p297633250,LG6,53.006
Lcu.2RBY.Chr6p298239092,LG6,53.418
Lcu.2RBY.Chr6p311393072,LG6,55.122
Lcu.2RBY.Chr6p311571410,LG6,55.124
Lcu.2RBY.Chr6p310085772,LG6,55.124
Lcu.2RBY.Chr6p307300673,LG6,55.124
Lcu.2RBY.Chr6p311393168,LG6,55.124
Lcu.2RBY.Chr6p311393349,LG6,55.126
Lcu.2RBY.Chr6p324640983,LG6,58.225
Lcu.2RBY.Chr6p323082086,LG6,58.225
Lcu.2RBY.Chr6p325978811,LG6,59.219
Lcu.2RBY.Chr6p326859859,LG6,59.704
Lcu.2RBY.Chr6p336216373,LG6,62.91
Lcu.2RBY.Chr6p337157661,LG6,64.286
Lcu.2RBY.Chr6p339111944,LG6,64.731
Lcu.2RBY.Chr6p355046392,LG6,68.846
Lcu.2RBY.Chr6p355046430,LG6,68.846
Lcu.2RBY.Chr6p359624806,LG6,72.443
Lcu.2RBY.Chr6p368449014,LG6,74.61
Lcu.2RBY.Chr6p371822338,LG6,77.517
Lcu.2RBY.Chr6p374492381,LG6,79.874
Lcu.2RBY.Chr6p372675522,LG6,79.88
Lcu.2RBY.Chr6p372675469,LG6,79.88
Lcu.2RBY.Chr6p372675345,LG6,80.349
Lcu.2RBY.Chr6p396649336,LG6,88.34
Lcu.2RBY.Chr6p396649543,LG6,88.34
Lcu.2RBY.Chr6p396649308,LG6,88.34
Lcu.2RBY.Chr6p396649275,LG6,88.34
Lcu.2RBY.Chr6p393909243,LG6,89.441
Lcu.2RBY.Chr6p402138727,LG6,94.382
Lcu.2RBY.Chr6p404369298,LG6,98.402
Lcu.2RBY.Chr6p407088378,LG6,100.233
Lcu.2RBY.Chr6p412074619,LG6,109.192
Lcu.2RBY.Chr6p413496086,LG6,110.309
Lcu.2RBY.Chr6p413140291,LG6,110.961
