"REF_DATE","GEO","DGUID","Statistics","Characteristics","Income, consumption and savings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","25305","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","25311","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","23641","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","24553","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","25647","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","28247","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","29053","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","28683","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","28256","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","28644","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","30459","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","29508","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","28798","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","28894","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","30846","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","31293","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","29418","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","29905","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","32033","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","32292","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","30878","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Adjusted household disposable income","Dollars","81","units","0","v1278066768","1.3.1.28","31594","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","19151","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","17808","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","20471","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","20436","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","18922","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","21080","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","22452","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","22070","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","20704","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","23279","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","23299","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","23479","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","21972","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","23925","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","23804","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","23989","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","22653","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Household final consumption expenditure (HFCE)","Dollars","81","units","0","v1278066748","1.3.1.8","24698","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","1912","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2019","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2050","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2107","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","1993","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2076","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2080","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2068","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","1972","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2129","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2154","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2223","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2108","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2254","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2257","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2302","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2214","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Food and non-alcoholic beverages","Dollars","81","units","0","v1278066749","1.3.1.9","2314","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","726","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","819","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","862","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","844","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","737","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","832","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","867","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","828","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","723","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","793","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","827","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","815","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","701","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","785","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","788","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","777","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","670","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Alcoholic beverages and tobacco","Dollars","81","units","0","v1278066750","1.3.1.10","746","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","665","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","572","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","919","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1093","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","643","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","786","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1041","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1285","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","788","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1085","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1089","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1419","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","879","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1112","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1078","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1379","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","844","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Clothing and footwear","Dollars","81","units","0","v1278066751","1.3.1.11","1079","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","4871","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","4742","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","4791","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","4788","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","4952","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5041","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5088","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","4955","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5231","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5253","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5212","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5262","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5503","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5489","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5495","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5609","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5918","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Housing, water, electricity, gas and other fuels","Dollars","81","units","0","v1278066752","1.3.1.12","5975","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1058","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1229","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1389","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1515","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1193","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1481","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1532","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1604","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1240","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1560","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1480","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1565","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1201","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1473","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1419","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1520","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1173","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","units","0","v1278066753","1.3.1.13","1423","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","858","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","680","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","826","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","848","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","873","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","904","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","925","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","905","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","915","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","969","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","960","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","975","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","976","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","1010","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","994","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","1009","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","1015","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Health","Dollars","81","units","0","v1278066754","1.3.1.14","1052","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","2648","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","2078","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3031","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","2679","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","2464","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3138","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3393","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3067","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3045","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3689","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3703","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3448","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3308","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3883","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3931","","","","0"
"2023-10","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3552","","","","0"
"2024-01","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","3455","","","","0"
"2024-04","Canada","2016A000011124","Value per household","All households","Transport","Dollars","81","units","0","v1278066755","1.3.1.15","4031","","","","0"
"2020-01","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","535","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","524","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","549","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","558","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","543","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","547","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","576","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","587","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","562","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","562","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","577","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","601","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","589","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","580","","","","0"
"2023-07","Canada","2016A000011124","Value per household","All households","Communications","Dollars","81","units","0","v1278066756","1.3.1.16","589","","","","0"
