"REF_DATE","GEO","DGUID","Type of motivation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","","..","","","0"
"2013","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","10","","","","0"
"2015","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","8","","","","0"
"2016","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","11","","","","0"
"2017","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","10","","","","0"
"2018","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","9","","","","0"
"2019","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","3","","","","0"
"2020","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","8","","","","0"
"2021","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","16","","","","0"
"2022","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","15","","","","0"
"2023","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","13","","","","0"
"2024","Canada, selected police services","2021A000011124","Mental or Physical Disability","Number","223","units","0","v91706856","1.29","26","","","","0"
"2012","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","","..","","","0"
"2013","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","22","","","","0"
"2015","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","12","","","","0"
"2016","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","24","","","","0"
"2017","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","32","","","","0"
"2018","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","54","","","","0"
"2019","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","56","","","","0"
"2020","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","49","","","","0"
"2021","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","60","","","","0"
"2022","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","90","","","","0"
"2023","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","129","","","","0"
"2024","Canada, selected police services","2021A000011124","Sex and gender","Number","223","units","0","v91706861","1.34","139","","","","0"
"2012","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","","..","","","0"
"2013","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","6","","","","0"
"2015","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","4","","","","0"
"2016","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","5","","","","0"
"2017","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","4","","","","0"
"2018","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","9","","","","0"
"2019","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","8","","","","0"
"2020","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","5","","","","0"
"2021","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","14","","","","0"
"2022","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","5","","","","0"
"2023","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","9","","","","0"
"2024","Canada, selected police services","2021A000011124","Age","Number","223","units","0","v91706866","1.39","10","","","","0"
"2021","Canada, selected police services","2021A000011124","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158597","1.82","","..","","","0"
"2022","Canada, selected police services","2021A000011124","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158597","1.82","","..","","","0"
"2023","Canada, selected police services","2021A000011124","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158597","1.82","14","","","","0"
"2024","Canada, selected police services","2021A000011124","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158597","1.82","49","","","","0"
"2012","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","","..","","","0"
"2013","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","27","","","","0"
"2015","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","44","","","","0"
"2016","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","35","","","","0"
"2017","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","48","","","","0"
"2018","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","73","","","","0"
"2019","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","58","","","","0"
"2020","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","101","","","","0"
"2021","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","82","","","","0"
"2022","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","103","","","","0"
"2023","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","69","","","","0"
"2024","Canada, selected police services","2021A000011124","Other similar factor","Number","223","units","0","v91706872","1.45","89","","","","0"
"2021","Canada, selected police services","2021A000011124","Combination (More than 2 motivations)","Number","223","units","0","v1593158598","1.83","","..","","","0"
"2022","Canada, selected police services","2021A000011124","Combination (More than 2 motivations)","Number","223","units","0","v1593158598","1.83","","..","","","0"
"2023","Canada, selected police services","2021A000011124","Combination (More than 2 motivations)","Number","223","units","0","v1593158598","1.83","30","","","","0"
"2024","Canada, selected police services","2021A000011124","Combination (More than 2 motivations)","Number","223","units","0","v1593158598","1.83","36","","","","0"
"2012","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","","..","","","0"
"2013","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","23","","","","0"
"2015","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","25","","","","0"
"2016","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","19","","","","0"
"2017","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","32","","","","0"
"2018","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","22","","","","0"
"2019","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","39","","","","0"
"2020","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","39","","","","0"
"2021","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","81","","","","0"
"2022","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","57","","","","0"
"2023","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","81","","","","0"
"2024","Canada, selected police services","2021A000011124","Unknown motivation","Number","223","units","0","v91706873","1.46","108","","","","0"
"2014","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","33","","","","0"
"2015","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","55","","","","0"
"2016","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","44","","","","0"
"2017","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","46","","","","0"
"2018","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","51","","","","0"
"2019","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","76","","","","0"
"2020","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","94","","","","0"
"2021","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","138","","","","0"
"2022","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","198","","","","0"
"2023","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","304","","","","0"
"2024","Atlantic [1]","N00011","Total police-reported hate crime","Number","223","units","0","v1579318566","2.1","276","","","","0"
"2014","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","17","","","","0"
"2015","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","23","","","","0"
"2016","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","23","","","","0"
"2017","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","21","","","","0"
"2018","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","31","","","","0"
"2019","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","35","","","","0"
"2020","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","58","","","","0"
"2021","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","83","","","","0"
"2022","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","117","","","","0"
"2023","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","161","","","","0"
"2024","Atlantic [1]","N00011","Race or ethnicity","Number","223","units","0","v1579318567","2.2","174","","","","0"
"2014","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","7","","","","0"
"2015","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","15","","","","0"
"2016","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","9","","","","0"
"2017","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","14","","","","0"
"2018","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","13","","","","0"
"2019","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","13","","","","0"
"2020","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","14","","","","0"
"2021","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","19","","","","0"
"2022","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","14","","","","0"
"2023","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","37","","","","0"
"2024","Atlantic [1]","N00011","Religion","Number","223","units","0","v1579318577","2.12","34","","","","0"
"2014","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","7","","","","0"
"2015","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","11","","","","0"
"2016","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","10","","","","0"
"2017","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","9","","","","0"
"2018","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","6","","","","0"
"2019","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","18","","","","0"
"2020","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","13","","","","0"
"2021","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","20","","","","0"
"2022","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","39","","","","0"
"2023","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","74","","","","0"
"2024","Atlantic [1]","N00011","Sexual orientation","Number","223","units","0","v1579318583","2.18","38","","","","0"
"2014","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2015","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2016","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2017","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2018","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2019","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2020","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2021","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2022","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2023","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2024","Atlantic [1]","N00011","Language","Number","223","units","0","v1579318589","2.24","","x","","","0"
"2014","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2015","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2016","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2017","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2018","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2019","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2020","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2021","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2022","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2023","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2024","Atlantic [1]","N00011","Mental or Physical Disability","Number","223","units","0","v1579318594","2.29","","x","","","0"
"2014","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2015","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2016","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2017","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2018","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2019","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2020","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2021","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2022","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2023","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2024","Atlantic [1]","N00011","Sex and gender","Number","223","units","0","v1579318599","2.34","","x","","","0"
"2014","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2015","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2016","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2017","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2018","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2019","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2020","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2021","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2022","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2023","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2024","Atlantic [1]","N00011","Age","Number","223","units","0","v1579318604","2.39","","x","","","0"
"2021","Atlantic [1]","N00011","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158634","2.82","","..","","","0"
"2022","Atlantic [1]","N00011","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158634","2.82","","..","","","0"
"2023","Atlantic [1]","N00011","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158634","2.82","","x","","","0"
"2024","Atlantic [1]","N00011","Immigrants / Newcomers to Canada","Number","223","units","0","v1593158634","2.82","","x","","","0"
"2014","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2015","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2016","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2017","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2018","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2019","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2020","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2021","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2022","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2023","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2024","Atlantic [1]","N00011","Other similar factor","Number","223","units","0","v1579318610","2.45","","x","","","0"
"2021","Atlantic [1]","N00011","Combination (More than 2 motivations)","Number","223","units","0","v1593158635","2.83","","..","","","0"
"2022","Atlantic [1]","N00011","Combination (More than 2 motivations)","Number","223","units","0","v1593158635","2.83","","..","","","0"
"2023","Atlantic [1]","N00011","Combination (More than 2 motivations)","Number","223","units","0","v1593158635","2.83","","x","","","0"
"2024","Atlantic [1]","N00011","Combination (More than 2 motivations)","Number","223","units","0","v1593158635","2.83","","x","","","0"
"2014","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2015","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2016","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2017","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2018","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2019","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2020","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2021","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2022","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2023","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2024","Atlantic [1]","N00011","Unknown motivation","Number","223","units","0","v1579318611","2.46","","x","","","0"
"2014","Quebec [24]","2021A000224","Total police-reported hate crime","Number","223","units","0","v1579318612","3.1","258","","","","0"
"2015","Quebec [24]","2021A000224","Total police-reported hate crime","Number","223","units","0","v1579318612","3.1","270","","","","0"
"2016","Quebec [24]","2021A000224","Total police-reported hate crime","Number","223","units","0","v1579318612","3.1","327","","","","0"
"2017","Quebec [24]","2021A000224","Total police-reported hate crime","Number","223","units","0","v1579318612","3.1","489","","","","0"
"2018","Quebec [24]","2021A000224","Total police-reported hate crime","Number","223","units","0","v1579318612","3.1","379","","","","0"
