Year,Average population,Live births,Deaths,Natural change,"Birth rate (per 1,000)","Death rate (per 1,000)","Natural change (per 1,000)",Total Fertility Rate
1967,"20,412,000","370,894","150,283","220,611",18.2,7.4,10.8,2.528
1968,"20,729,000","364,310","153,196","211,114",17.6,7.4,10.2,2.386
1969,"21,028,000","369,647","154,477","215,170",17.6,7.3,10.2,2.334
1970,"21,324,000","371,988","155,961","216,027",17.4,7.3,10.1,2.258
1971,"21,962,032","362,187","157,272","204,915",16.5,7.2,9.3,2.141
1972,"22,218,463","347,319","162,413","184,906",15.6,7.3,8.3,1.98
1973,"22,491,777","343,373","164,039","179,334",15.3,7.3,8,1.89
1974,"22,807,969","350,650","166,794","183,856",15.4,7.3,8.1,1.837
1975,"23,143,275","359,323","167,176","192,147",15.5,7.2,8.3,1.824
1976,"23,449,808","359,987","167,009","192,978",15.4,7.1,8.2,1.796
1977,"23,725,843","361,400","167,498","193,902",15.2,7.1,8.2,1.782
1978,"23,963,203","358,852","168,179","190,673",15,7,8,1.768
1979,"24,201,544","366,064","168,183","197,881",15.1,6.9,8.2,1.754
1980,"24,515,667","370,709","171,473","199,236",15.1,7,8.1,1.74
1981,"24,819,915","371,346","171,029","200,317",15,6.9,8.1,1.7
1982,"25,116,942","373,082","174,413","198,669",14.9,6.9,7.9,1.69
1983,"25,366,451","373,689","174,484","199,205",14.7,6.9,7.9,1.68
1984,"25,607,053","377,031","175,727","201,304",14.7,6.9,7.9,1.65
1985,"25,842,116","375,727","181,323","194,404",14.5,7,7.5,1.67
1986,"26,100,278","372,913","184,224","188,689",14.3,7.1,7.2,1.675
1987,"26,446,601","369,742","184,953","184,789",14,7,7,1.68
1988,"26,791,747","376,795","190,011","186,784",14.1,7.1,7,1.68
1989,"27,276,781","392,661","190,965","201,696",14.4,7,7.4,1.77
1990,"27,691,138","405,486","191,973","213,513",14.6,6.9,7.7,1.83
1991,"28,037,420","403,816","195,569","208,247",14.4,7,7.4,1.72
1992,"28,371,264","399,109","196,535","202,574",14.1,6.9,7.1,1.71
1993,"28,684,764","389,037","204,912","184,125",13.5,7.1,6.4,1.68
1994,"29,000,663","386,243","207,077","179,166",13.3,7.1,6.1,1.69
1995,"29,302,311","378,685","210,733","167,952",12.9,7.2,5.7,1.67
1996,"29,610,218","366,833","212,880","153,953",12.4,7.2,5.2,1.63
1997,"29,905,948","349,543","215,669","133,874",11.7,7.2,4.4,1.57
1998,"30,155,173","342,966","218,091","124,875",11.4,7.2,4.1,1.56
1999,"30,401,286","337,821","219,530","118,291",11.1,7.2,3.9,1.54
2000,"30,685,730","328,596","218,062","110,534",10.7,7.1,3.6,1.51
2001,"31,020,902","334,615","219,538","115,077",10.8,7.1,3.7,1.54
2002,"31,360,079","329,894","223,603","106,291",10.5,7.1,3.4,1.51
2003,"31,644,028","336,352","226,169","110,183",10.6,7.1,3.4,1.54
2004,"31,940,655","339,012","226,584","112,428",10.6,7.1,3.5,1.55
2005,"32,243,753","345,365","230,132","115,233",10.6,7.1,3.5,1.57
2006,"32,571,174","357,921","228,079","129,842",10.9,7,3.9,1.61
2007,"32,889,025","370,369","235,217","135,152",11.2,7.2,4,1.66
2008,"33,247,118","381,860","238,617","143,243",11.4,7.2,4.2,1.69
2009,"33,628,895","384,651","238,418","146,233",11.3,7.1,4.2,1.68
2010,"34,004,889","379,191","240,075","139,116",11.1,7.1,4,1.64
2011,"34,339,328","379,244","243,511","135,733",11,7.1,3.9,1.62
2012,"34,714,222","383,101","246,596","136,505",11,7.1,3.9,1.62
2013,"35,082,954","381,054","252,338","128,716",10.8,7.2,3.6,1.6
2014,"35,437,435","384,577","258,821","125,756",10.8,7.3,3.5,1.61
2015,"35,702,908","382,979","264,333","118,646",10.7,7.4,3.3,1.6
2016,"36,109,487","384,023","267,213","116,810",10.6,7.4,3.2,1.59
2017,"36,545,236","377,627","278,298","99,329",10.3,7.6,2.7,1.54
2018,"37,065,084","374,617","285,675","88,942",10.1,7.7,2.4,1.5
2019,"37,601,230","372,978","285,270","87,708",9.9,7.6,2.3,1.47
2020,"38,037,204","360,552","307,205","53,347",9.4,8.1,1.3,1.41
2021,"38,526,760","367,684","311,942","55,742",9.5,8,1.5,1.43
