"REF_DATE","GEO","DGUID","Release","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-07-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4221","","","","0"
"2010-07-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4687","","","","0"
"2010-07-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4390","","","","0"
"2010-07-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4352","","","","0"
"2010-07-31","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4308","","","","0"
"2010-08-07","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4191","","","","0"
"2010-08-14","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4297","","","","0"
"2010-08-21","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4423","","","","0"
"2010-08-28","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4357","","","","0"
"2010-09-04","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4307","","","","0"
"2010-09-11","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4420","","","","0"
"2010-09-18","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4441","","","","0"
"2010-09-25","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4621","","","","0"
"2010-10-02","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4466","","","","0"
"2010-10-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4784","","","","0"
"2010-10-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4754","","","","0"
"2010-10-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4715","","","","0"
"2010-10-30","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4694","","","","0"
"2010-11-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4747","","","","0"
"2010-11-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4610","","","","0"
"2010-11-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4674","","","","0"
"2010-11-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4714","","","","0"
"2010-12-04","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4864","","","","0"
"2010-12-11","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4709","","","","0"
"2010-12-18","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4837","","","","0"
"2010-12-25","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5140","","","","0"
"2011-01-01","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5191","","","","0"
"2011-01-08","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5457","","","","0"
"2011-01-15","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5146","","","","0"
"2011-01-22","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5214","","","","0"
"2011-01-29","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5135","","","","0"
"2011-02-05","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5035","","","","0"
"2011-02-12","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5049","","","","0"
"2011-02-19","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5079","","","","0"
"2011-02-26","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5056","","","","0"
"2011-03-05","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4954","","","","0"
"2011-03-12","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5131","","","","0"
"2011-03-19","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5008","","","","0"
"2011-03-26","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4772","","","","0"
"2011-04-02","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4997","","","","0"
"2011-04-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4814","","","","0"
"2011-04-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4656","","","","0"
"2011-04-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4713","","","","0"
"2011-04-30","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4711","","","","0"
"2011-05-07","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4678","","","","0"
"2011-05-14","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4651","","","","0"
"2011-05-21","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4622","","","","0"
"2011-05-28","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4356","","","","0"
"2011-06-04","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4504","","","","0"
"2011-06-11","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4503","","","","0"
"2011-06-18","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4524","","","","0"
"2011-06-25","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4312","","","","0"
"2011-07-02","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4249","","","","0"
"2011-07-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4391","","","","0"
"2011-07-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4371","","","","0"
"2011-07-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4454","","","","0"
"2011-07-30","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4305","","","","0"
"2011-08-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4339","","","","0"
"2011-08-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4257","","","","0"
"2011-08-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4367","","","","0"
"2011-08-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4403","","","","0"
"2011-09-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4319","","","","0"
"2011-09-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4288","","","","0"
"2011-09-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4244","","","","0"
"2011-09-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4513","","","","0"
"2011-10-01","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4478","","","","0"
"2011-10-08","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4582","","","","0"
"2011-10-15","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4537","","","","0"
"2011-10-22","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4668","","","","0"
"2011-10-29","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4550","","","","0"
"2011-11-05","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4674","","","","0"
"2011-11-12","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4576","","","","0"
"2011-11-19","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4667","","","","0"
"2011-11-26","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4706","","","","0"
"2011-12-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4706","","","","0"
"2011-12-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4660","","","","0"
"2011-12-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4781","","","","0"
"2011-12-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4820","","","","0"
"2011-12-31","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4945","","","","0"
"2012-01-07","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5000","","","","0"
"2012-01-14","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4993","","","","0"
"2012-01-21","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5179","","","","0"
"2012-01-28","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5105","","","","0"
"2012-02-04","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4869","","","","0"
"2012-02-11","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4961","","","","0"
"2012-02-18","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4823","","","","0"
"2012-02-25","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4875","","","","0"
"2012-03-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4925","","","","0"
"2012-03-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4864","","","","0"
"2012-03-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4840","","","","0"
"2012-03-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4924","","","","0"
"2012-03-31","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4742","","","","0"
"2012-04-07","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4747","","","","0"
"2012-04-14","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4829","","","","0"
"2012-04-21","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4778","","","","0"
"2012-04-28","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4727","","","","0"
"2012-05-05","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4757","","","","0"
"2012-05-12","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4589","","","","0"
"2012-05-19","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4655","","","","0"
"2012-05-26","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4638","","","","0"
"2012-06-02","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4431","","","","0"
"2012-06-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4420","","","","0"
"2012-06-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4419","","","","0"
"2012-06-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4422","","","","0"
"2012-06-30","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4364","","","","0"
"2012-07-07","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4481","","","","0"
"2012-07-14","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4454","","","","0"
"2012-07-21","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4404","","","","0"
"2012-07-28","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4280","","","","0"
"2012-08-04","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4488","","","","0"
"2012-08-11","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4523","","","","0"
"2012-08-18","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4388","","","","0"
"2012-08-25","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4413","","","","0"
"2012-09-01","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4438","","","","0"
"2012-09-08","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4415","","","","0"
"2012-09-15","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4456","","","","0"
"2012-09-22","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4411","","","","0"
"2012-09-29","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4614","","","","0"
"2012-10-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4588","","","","0"
"2012-10-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4633","","","","0"
"2012-10-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4817","","","","0"
"2012-10-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4709","","","","0"
"2012-11-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4701","","","","0"
"2012-11-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4810","","","","0"
"2012-11-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4772","","","","0"
"2012-11-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4685","","","","0"
"2012-12-01","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4860","","","","0"
"2012-12-08","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4976","","","","0"
"2012-12-15","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4981","","","","0"
"2012-12-22","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5452","","","","0"
"2012-12-29","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5623","","","","0"
"2013-01-05","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","6044","","","","0"
"2013-01-12","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5926","","","","0"
"2013-01-19","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5830","","","","0"
"2013-01-26","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5524","","","","0"
"2013-02-02","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5477","","","","0"
"2013-02-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5179","","","","0"
"2013-02-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5307","","","","0"
"2013-02-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5049","","","","0"
"2013-03-02","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5058","","","","0"
"2013-03-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4931","","","","0"
"2013-03-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4905","","","","0"
"2013-03-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","5034","","","","0"
"2013-03-30","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4888","","","","0"
"2013-04-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4916","","","","0"
"2013-04-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4932","","","","0"
"2013-04-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4912","","","","0"
"2013-04-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4760","","","","0"
"2013-05-04","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4773","","","","0"
"2013-05-11","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4960","","","","0"
"2013-05-18","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4503","","","","0"
"2013-05-25","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4497","","","","0"
"2013-06-01","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4578","","","","0"
"2013-06-08","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4568","","","","0"
"2013-06-15","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4417","","","","0"
"2013-06-22","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4512","","","","0"
"2013-06-29","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4362","","","","0"
"2013-07-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4610","","","","0"
"2013-07-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4491","","","","0"
"2013-07-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4740","","","","0"
"2013-07-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4351","","","","0"
"2013-08-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4457","","","","0"
"2013-08-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4391","","","","0"
"2013-08-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4415","","","","0"
"2013-08-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4395","","","","0"
"2013-08-31","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4466","","","","0"
"2013-09-07","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4509","","","","0"
"2013-09-14","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4379","","","","0"
"2013-09-21","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4470","","","","0"
