"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","226584","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","230132","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","228079","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","235217","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","238617","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","238418","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","240075","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","243511","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","246596","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","252338","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","258821","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","264333","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","267213","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","278298","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","285704","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","285301","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","308412","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","311640","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","334081","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","326215","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","708.7","","","","1"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","705.7","","","","1"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","713.0","","","","1"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","714.4","","","","1"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","708.6","","","","1"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","712.5","","","","1"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","698.6","","","","1"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","714.4","","","","1"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","716.2","","","","1"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","706.8","","","","1"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","703.5","","","","1"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","706.2","","","","1"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","709.6","","","","1"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","717.8","","","","1"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","728.3","","","","1"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","737.7","","","","1"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","736.8","","","","1"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","762.3","","","","1"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","770.8","","","","1"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","758.8","","","","1"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","811.5","","","","1"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","815.2","","","","1"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","858.2","","","","1"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41618018","1.1.1.100.4","813.8","","","","1"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","43","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","42","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","42","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","42","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","41","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","39","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Rank of leading causes of death","Number","223","units","0","v41341041","1.1.1.1.1","40","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","3","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","1","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","6","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","8","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","4","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","1","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","7","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","9","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","8","","","","0"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","11","","","","0"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","10","","","","0"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","12","","","","0"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","5","","","","0"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","10","","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","7","","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","6","","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","9","","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","11","","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","12","","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Number of deaths","Number","223","units","0","v41341042","1.1.1.1.2","17","","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2012","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2013","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2014","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2015","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2016","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Salmonella infections [A01-A02]","Age-specific mortality rate per 100,000 population","Number","223","units","0","v41347402","1.1.1.1.4","0.0","","","","1"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","47","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","43","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2004","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","42","","","","0"
"2005","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2006","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2007","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2008","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","45","","","","0"
"2009","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","43","","","","0"
"2010","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
"2011","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Shigellosis and amoebiasis [A03, A06]","Rank of leading causes of death","Number","223","units","0","v41341043","1.1.1.2.1","46","","","","0"
