"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","17859","","","","0"
"1998","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","17673","","","","0"
"1999","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","17827","","","","0"
"2000","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","17673","","","","0"
"2001","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","18215","","","","0"
"2002","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","18542","","","","0"
"2003","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","18575","","","","0"
"2004","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","18152","","","","0"
"2005","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","19132","","","","0"
"2006","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","19143","","","","0"
"2007","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","19284","","","","0"
"2008","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","19811","","","","0"
"2009","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","19891","","","","0"
"2010","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","19830","","","","0"
"2011","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","20208","","","","0"
"2012","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","20382","","","","0"
"2013","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","20603","","","","0"
"2014","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","21316","","","","0"
"2015","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","21827","","","","0"
"2016","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","22008","","","","0"
"2017","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","22564","","","","0"
"2018","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","23087","","","","0"
"2019","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","23786","","","","0"
"2020","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","27200","","","","0"
"2021","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","25355","","","","0"
"2022","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","27017","","","","0"
"2023","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","26089","","","","0"
"1991","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","15369","","","","0"
"1992","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","15380","","","","0"
"1993","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","15792","","","","0"
"1994","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16609","","","","0"
"1995","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16399","","","","0"
"1996","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16352","","","","0"
"1997","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16696","","","","0"
"1998","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16565","","","","0"
"1999","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16612","","","","0"
"2000","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","16910","","","","0"
"2001","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","17602","","","","0"
"2002","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","17274","","","","0"
"2003","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","17852","","","","0"
"2004","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","17752","","","","0"
"2005","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","17793","","","","0"
"2006","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","17783","","","","0"
"2007","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","18170","","","","0"
"2008","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","18251","","","","0"
"2009","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","18571","","","","0"
"2010","Canada, place of residence","2016A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","18484","","","","0"
