"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14531.9","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14562.1","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14652.0","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14772.4","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14857.4","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14916.7","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","15118.0","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","15475.4","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","7659.1","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","7902.2","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","8157.6","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","8431.5","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","8721.4","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","9006.7","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","9298.5","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","9602.8","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","9902.7","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","10195.1","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","10505.7","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","10815.3","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","11129.6","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","11439.5","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","11714.6","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","11953.6","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","12177.3","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","12392.4","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","12854.2","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","13020.7","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","13196.3","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","13382.0","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","13562.7","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","13726.0","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","13896.4","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","14062.0","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","14217.9","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","14338.0","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","14493.6","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","14680.9","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","14915.6","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","15158.7","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","15337.2","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","15471.2","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","15692.7","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","16075.3","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2221.5","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2230.8","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2238.4","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2245.7","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2254.1","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2266.0","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2281.4","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2286.4","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2278.4","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2258.7","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2247.9","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2267.2","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2295.0","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2317.4","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2314.2","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2298.0","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2303.5","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2384.8","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7050.8","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7087.5","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7128.5","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7169.7","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7195.4","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7200.9","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7208.0","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7215.3","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7229.4","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7223.2","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7236.6","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7252.7","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7305.2","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7374.7","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7423.0","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7456.8","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7564.1","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7760.7","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","3581.9","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","3702.4","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","3829.4","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","3966.6","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","4113.1","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","4259.1","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","4406.9","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","4560.4","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","4710.2","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","4856.1","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5009.2","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5161.0","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5315.4","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5466.5","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5600.0","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5716.5","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5825.1","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","5929.9","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","13267.6","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","13448.5","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","13634.3","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","13825.3","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14013.5","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14179.0","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14334.5","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14484.4","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14625.8","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14738.4","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","14892.4","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","15083.4","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","15305.1","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","15536.2","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","15715.4","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","15854.9","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","16079.3","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","16426.7","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2125.4","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2147.1","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2164.8","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2178.1","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2188.3","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2192.9","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2183.0","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2165.6","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2141.8","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2112.9","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2100.5","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2119.6","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2144.1","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2165.4","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2166.3","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2157.9","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2173.2","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2249.5","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7064.9","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7101.6","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7141.3","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7182.3","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7216.9","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7238.4","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7259.9","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7276.4","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7291.5","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7286.6","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7295.4","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7309.4","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7346.8","","","","1"
