"marker","lg","cM"
"Lcu.2RBY.Chr1p18649995","LG1",161.79
"Lcu.2RBY.Chr1p16652193","LG1",162.78
"Lcu.2RBY.Chr1p16497205","LG1",164.41
"Lcu.2RBY.Chr1p16497147","LG1",164.94
"Lcu.2RBY.Chr1p16497183","LG1",165.46
"Lcu.2RBY.Chr1p11741766","LG1",167.63
"Lcu.2RBY.Chr1p11830264","LG1",168.63
"Lcu.2RBY.Chr1p16291123","LG1",169.64
"Lcu.2RBY.Chr1p12508221","LG1",170.64
"Lcu.2RBY.Chr1p11828333","LG1",171.63
"Lcu.2RBY.Chr1p11878253","LG1",172.6
"Lcu.2RBY.Chr1p13806438","LG1",173.6
"Lcu.2RBY.Chr1p13616849","LG1",175.13
"Lcu.2RBY.Chr1p9880386","LG1",176.13
"Lcu.2RBY.Chr1p9168430","LG1",178.26
"Lcu.2RBY.Chr1p9504193","LG1",181.07
"Lcu.2RBY.Chr1p9698454","LG1",182.09
"Lcu.2RBY.Chr1p8546102","LG1",185.35
"Lcu.2RBY.Chr1p8546711","LG1",186.99
"Lcu.2RBY.Chr1p2412189","LG1",192.3
"Lcu.2RBY.Chr1p2331212","LG1",196.24
"Lcu.2RBY.Chr1p2198956","LG1",197.34
"Lcu.2RBY.Chr1p2168613","LG1",197.85
"Lcu.2RBY.Chr1p2091025","LG1",198.85
"Lcu.2RBY.Chr1p2097637","LG1",199.35
"Lcu.2RBY.Chr1p2084793","LG1",199.85
"Lcu.2RBY.Chr1p2079638","LG1",200.87
"Lcu.2RBY.Chr1p2079056","LG1",201.39
"Lcu.2RBY.Chr1p2078114","LG1",203.62
"Lcu.2RBY.Chr1p2078173","LG1",204.15
"Lcu.2RBY.Chr1p2149708","LG1",205.73
"Lcu.2RBY.Chr1p2215817","LG1",206.73
"Lcu.2RBY.Chr1p2135819","LG1",208.73
"Lcu.2RBY.Chr1p2330904","LG1",209.21
"Lcu.2RBY.Chr1p2330092","LG1",209.72
"Lcu.2RBY.Chr1p2330122","LG1",210.22
"Lcu.2RBY.Chr1p2466065","LG1",211.75
"Lcu.2RBY.Chr1p2380890","LG1",212.72
"Lcu.2RBY.Chr1p2536103","LG1",214.26
"Lcu.2RBY.Chr1p2508400","LG1",214.78
"Lcu.2RBY.Chr1p2409806","LG1",215.27
"Lcu.2RBY.Chr1p2604699","LG1",215.75
"Lcu.2RBY.Chr1p2889147","LG1",217.74
"Lcu.2RBY.Chr1p3547912","LG1",219.24
"Lcu.2RBY.Chr1p3979677","LG1",220.25
"Lcu.2RBY.Chr1p3979443","LG1",220.73
"Lcu.2RBY.Chr1p4009276","LG1",221.22
"Lcu.2RBY.Chr1p4253267","LG1",221.73
"Lcu.2RBY.Chr1p4399307","LG1",222.24
"Lcu.2RBY.Chr1p4471504","LG1",222.75
"Lcu.2RBY.Chr1p6475749","LG1",223.24
"Lcu.2RBY.Chr1p8426339","LG1",224.25
"Lcu.2RBY.Chr1p8578982","LG1",224.77
"Lcu.2RBY.Chr1p9484786","LG1",225.26
"Lcu.2RBY.Chr1p9534135","LG1",225.75
"Lcu.2RBY.Chr1p9880223","LG1",227.29
"Lcu.2RBY.Chr1p32517039","LG1",230.98
"Lcu.2RBY.Chr1p34922712","LG1",232
"Lcu.2RBY.Chr1p35082058","LG1",233
"Lcu.2RBY.Chr1p34922175","LG1",233.99
"Lcu.2RBY.Chr1p34804949","LG1",235.52
"Lcu.2RBY.Chr1p34804960","LG1",236.52
"Lcu.2RBY.Chr1p34805003","LG1",237.03
"Lcu.2RBY.Chr1p34805332","LG1",239.66
"Lcu.2RBY.Chr1p33548549","LG1",242.27
"Lcu.2RBY.Chr1p34925500","LG1",243.28
"Lcu.2RBY.Chr1p34510449","LG1",246.54
"Lcu.2RBY.Chr1p95276682","LG1",248.55
"Lcu.2RBY.Chr1p108372751","LG1",249.2
"Lcu.2RBY.Chr1p98721944","LG1",251.95
"Lcu.2RBY.Chr1p296747025","LG1",256.97
"Lcu.2RBY.Chr1p296747087","LG1",257.47
"Lcu.2RBY.Chr1p296082139","LG1",259.51
"Lcu.2RBY.Chr1p312904296","LG1",261.16
"Lcu.2RBY.Chr1p322240475","LG1",262.29
"Lcu.2RBY.Chr1p321213415","LG1",263.39
"Lcu.2RBY.Chr1p316853372","LG1",263.93
"Lcu.2RBY.Chr1p308842071","LG1",265.51
"Lcu.2RBY.Chr1p306179188","LG1",267.03
"Lcu.2RBY.Chr1p311716772","LG1",268.56
"Lcu.2RBY.Chr1p311718612","LG1",271.22
"Lcu.2RBY.Chr1p311718698","LG1",275.07
"Lcu.2RBY.Chr1p76661064","LG1",290.32
"Lcu.2RBY.Chr1p76661088","LG1",292.42
"Lcu.2RBY.Chr1p76661086","LG1",292.93
"Lcu.2RBY.Chr1p76665284","LG1",299.63
"Lcu.2RBY.Chr1p296756015","LG1",307.12
"Lcu.2RBY.Chr1p59259032","LG1",319.55
"Lcu.2RBY.Chr1p59259002","LG1",324.57
"Lcu.2RBY.Chr1p364844914","LG1",336.83
"Lcu.2RBY.Chr1p364844918","LG1",337.81
"Lcu.2RBY.Chr1p362472413","LG1",341.99
"Lcu.2RBY.Chr1p359844018","LG1",342.46
"Lcu.2RBY.Chr1p361106163","LG1",342.96
"Lcu.2RBY.Chr1p358861093","LG1",345.09
"Lcu.2RBY.Chr1p357557921","LG1",346.6
"Lcu.2RBY.Chr1p355362305","LG1",348.56
"Lcu.2RBY.Chr1p355266762","LG1",349.53
"Lcu.2RBY.Chr1p356793821","LG1",351.56
"Lcu.2RBY.Chr1p356782563","LG1",353.56
"Lcu.2RBY.Chr1p355619974","LG1",355.03
"Lcu.2RBY.Chr1p352802350","LG1",356.01
"Lcu.2RBY.Chr1p352040561","LG1",356.5
"Lcu.2RBY.Chr1p351261092","LG1",357.49
"Lcu.2RBY.Chr1p345338646","LG1",358.98
"Lcu.2RBY.Chr1p350395490","LG1",359.94
"Lcu.2RBY.Chr1p340440001","LG1",361.41
"Lcu.2RBY.Chr1p341035761","LG1",362.43
"Lcu.2RBY.Chr1p341035943","LG1",362.94
"Lcu.2RBY.Chr1p340884987","LG1",363.44
"Lcu.2RBY.Chr1p356023036","LG1",364.95
"Lcu.2RBY.Chr1p358213896","LG1",365.93
"Lcu.2RBY.Chr1p362047042","LG1",367.41
"Lcu.2RBY.Chr1p360502513","LG1",368.38
"Lcu.2RBY.Chr1p361041470","LG1",368.86
"Lcu.2RBY.Chr1p363638925","LG1",370.32
"Lcu.2RBY.Chr1p362878921","LG1",371.78
"Lcu.2RBY.Chr1p363401142","LG1",373.32
"Lcu.2RBY.Chr1p366917549","LG1",375.5
"Lcu.2RBY.Chr1p365854139","LG1",376.52
"Lcu.2RBY.Chr1p365206067","LG1",377.96
"Lcu.2RBY.Chr1p367957339","LG1",379.98
"Lcu.2RBY.Chr1p370486216","LG1",381.5
"Lcu.2RBY.Chr1p369815578","LG1",382.47
"Lcu.2RBY.Chr1p370332393","LG1",383.45
"Lcu.2RBY.Chr1p370598432","LG1",384.45
"Lcu.2RBY.Chr1p370598949","LG1",385.98
"Lcu.2RBY.Chr1p370484910","LG1",387.48
"Lcu.2RBY.Chr1p368013340","LG1",388.45
"Lcu.2RBY.Chr1p370484693","LG1",389.46
"Lcu.2RBY.Chr1p369623656","LG1",390.99
"Lcu.2RBY.Chr1p369626183","LG1",393.68
"Lcu.2RBY.Chr1p369626114","LG1",394.7
"Lcu.2RBY.Chr1p369626065","LG1",396.88
"Lcu.2RBY.Chr1p369626063","LG1",397.38
"Lcu.2RBY.Chr1p370483483","LG1",398.41
"Lcu.2RBY.Chr1p370248436","LG1",398.89
"Lcu.2RBY.Chr1p370598166","LG1",399.89
"Lcu.2RBY.Chr1p369625385","LG1",401.38
"Lcu.2RBY.Chr1p374874737","LG1",403.44
"Lcu.2RBY.Chr1p378204306","LG1",403.92
"Lcu.2RBY.Chr1p375161517","LG1",404.42
"Lcu.2RBY.Chr1p375157920","LG1",406.53
"Lcu.2RBY.Chr1p375158033","LG1",408.03
"Lcu.2RBY.Chr1p375158611","LG1",411.16
"Lcu.2RBY.Chr1p374873245","LG1",413.71
"Lcu.2RBY.Chr1p378208013","LG1",415.18
"Lcu.2RBY.Chr1p388398736","LG1",416.67
"Lcu.2RBY.Chr1p378912580","LG1",417.65
"Lcu.2RBY.Chr1p380861423","LG1",418.63
"Lcu.2RBY.Chr1p387050870","LG1",419.61
"Lcu.2RBY.Chr1p388841881","LG1",420.57
"Lcu.2RBY.Chr1p387051243","LG1",421.52
"Lcu.2RBY.Chr1p380802504","LG1",422.5
"Lcu.2RBY.Chr1p381126880","LG1",424.1
"Lcu.2RBY.Chr1p381126912","LG1",424.61
"Lcu.2RBY.Chr1p375161338","LG1",425.14
"Lcu.2RBY.Chr1p387052426","LG1",426.13
"Lcu.2RBY.Chr1p389526651","LG1",427.63
"Lcu.2RBY.Chr1p390293324","LG1",429.72
"Lcu.2RBY.Chr1p391956048","LG1",430.71
"Lcu.2RBY.Chr1p391953586","LG1",431.69
"Lcu.2RBY.Chr1p391856897","LG1",432.16
"Lcu.2RBY.Chr1p391959446","LG1",432.63
"Lcu.2RBY.Chr1p392966540","LG1",434.09
"Lcu.2RBY.Chr1p390692704","LG1",434.56
"Lcu.2RBY.Chr1p390631948","LG1",435.05
"Lcu.2RBY.Chr1p394431473","LG1",436.06
"Lcu.2RBY.Chr1p394626561","LG1",437.55
"Lcu.2RBY.Chr1p394626619","LG1",438.51
"Lcu.2RBY.Chr1p395163939","LG1",439.97
"Lcu.2RBY.Chr1p396504481","LG1",441.47
"Lcu.2RBY.Chr1p398999440","LG1",443.01
"Lcu.2RBY.Chr1p402582098","LG1",443.99
"Lcu.2RBY.Chr1p402884986","LG1",444.46
"Lcu.2RBY.Chr1p405982482","LG1",446.38
"Lcu.2RBY.Chr1p405978082","LG1",446.84
"Lcu.2RBY.Chr1p405971561","LG1",447.31
"Lcu.2RBY.Chr1p405896130","LG1",448.8
"Lcu.2RBY.Chr1p405805367","LG1",450.28
"Lcu.2RBY.Chr1p406731209","LG1",451.73
"Lcu.2RBY.Chr1p407717089","LG1",452.18
"Lcu.2RBY.Chr1p411676478","LG1",454.07
"Lcu.2RBY.Chr1p413388268","LG1",455.47
"Lcu.2RBY.Chr1p413738620","LG1",456.94
"Lcu.2RBY.Chr1p417305515","LG1",457.93
"Lcu.2RBY.Chr1p418504310","LG1",458.88
"Lcu.2RBY.Chr1p418296883","LG1",459.85
"Lcu.2RBY.Chr1p413289552","LG1",460.82
"Lcu.2RBY.Chr1p413289649","LG1",462.25
"Lcu.2RBY.Chr1p417613390","LG1",463.66
"Lcu.2RBY.Chr7p3701240","LG1",464.67
"Lcu.2RBY.Chr1p414205594","LG1",465.67
"Lcu.2RBY.Chr1p413475073","LG1",466.61
"Lcu.2RBY.Chr1p418411577","LG1",468.05
"Lcu.2RBY.Chr1p421351446","LG1",469.03
"Lcu.2RBY.Chr1p418917867","LG1",469.51
"Lcu.2RBY.Chr1p418917576","LG1",469.97
"Lcu.2RBY.Chr1p413288110","LG1",470.44
"Lcu.2RBY.Chr1p409913394","LG1",473.57
"Lcu.2RBY.Chr1p409913447","LG1",476.04
"Lcu.2RBY.Chr1p409913088","LG1",481.84
"Lcu.2RBY.Chr1p417306070","LG1",498.1
"Lcu.2RBY.Chr1p417306028","LG1",499.17
"Lcu.2RBY.Chr1p417306107","LG1",499.74
"Lcu.2RBY.Chr1p393381422","LG1",514.06
"Lcu.2RBY.Chr1p425879827","LG1",521.65
"Lcu.2RBY.Chr1p425879722","LG1",523.35
"Lcu.2RBY.Chr1p425988054","LG1",526.69
"Lcu.2RBY.Chr1p423126338","LG1",528.13
"Lcu.2RBY.Chr1p429702005","LG1",531.2
"Lcu.2RBY.Chr1p429766880","LG1",532.2
"Lcu.2RBY.Chr1p430134969","LG1",533.17
"Lcu.2RBY.Chr1p431389229","LG1",533.65
"Lcu.2RBY.Chr1p430031413","LG1",535.21
"Lcu.2RBY.Chr1p430032334","LG1",537.37
"Lcu.2RBY.Chr1p430032133","LG1",540.15
"Lcu.2RBY.Chr1p430032072","LG1",541.76
"Lcu.2RBY.Chr1p438287073","LG1",544.37
"Lcu.2RBY.Chr1p438501482","LG1",544.82
"Lcu.2RBY.Chr1p437214938","LG1",546.28
"Lcu.2RBY.Chr1p436117761","LG1",547.74
"Lcu.2RBY.Chr1p435883022","LG1",548.69
"Lcu.2RBY.Chr1p439316468","LG1",550.16
"Lcu.2RBY.Chr1p439682312","LG1",550.63
"Lcu.2RBY.Chr1p440751320","LG1",552.6
"Lcu.2RBY.Chr1p447528649","LG1",555.15
"Lcu.2RBY.Chr1p447261886","LG1",556.12
"Lcu.2RBY.Chr1p447262453","LG1",557.09
"Lcu.2RBY.Chr1p451346296","LG1",559.09
"Lcu.2RBY.Chr1p453692526","LG1",560.04
"Lcu.2RBY.Chr1p452696148","LG1",560.98
"Lcu.2RBY.Chr1p452917209","LG1",561.45
"Lcu.2RBY.Chr1p452917230","LG1",561.92
"Lcu.2RBY.Chr1p451652286","LG1",563.42
"Lcu.2RBY.Chr1p449363363","LG1",564.88
"Lcu.2RBY.Chr1p449363378","LG1",565.34
"Lcu.2RBY.Chr1p450768196","LG1",565.81
"Lcu.2RBY.Chr1p450685421","LG1",566.77
"Lcu.2RBY.Chr1p449360461","LG1",568.21
"Lcu.2RBY.Chr1p459893004","LG1",570.66
"Lcu.2RBY.Chr1p466530104","LG1",572.09
"Lcu.2RBY.Chr1p461131193","LG1",573.03
"Lcu.2RBY.Chr1p463381755","LG1",573.97
"Lcu.2RBY.Chr1p467772755","LG1",574.95
"Lcu.2RBY.Chr1p467772733","LG1",575.43
"Lcu.2RBY.Chr1p459894343","LG1",576.36
"Lcu.2RBY.Chr1p457599632","LG1",577.3
"Lcu.2RBY.Chr1p467580936","LG1",578.22
"Lcu.2RBY.Chr1p467580763","LG1",579.17
"Lcu.2RBY.Chr1p467144534","LG1",580.14
"Lcu.2RBY.Chr1p463274810","LG1",580.6
"Lcu.2RBY.Chr1p454893726","LG1",581.54
"Lcu.2RBY.Chr1p453691762","LG1",582.95
"Lcu.2RBY.Chr1p454892684","LG1",583.9
"Lcu.2RBY.Chr1p453652506","LG1",585.33
"Lcu.2RBY.Chr1p453202193","LG1",586.29
"Lcu.2RBY.Chr1p453572282","LG1",587.25
"Lcu.2RBY.Chr1p453083854","LG1",588.21
"Lcu.2RBY.Chr1p453201032","LG1",589.17
"Lcu.2RBY.Chr1p454891765","LG1",589.64
"Lcu.2RBY.Chr1p466160551","LG1",590.12
"Lcu.2RBY.Chr1p469991989","LG1",591.08
"Lcu.2RBY.Chr1p469893073","LG1",592.05
"Lcu.2RBY.Chr1p469773209","LG1",593.01
"Lcu.2RBY.Chr1p467848105","LG1",593.96
"Lcu.2RBY.Chr1p467061400","LG1",594.89
"Lcu.2RBY.Chr1p461131317","LG1",596.35
"Lcu.2RBY.Chr1p453651335","LG1",597.91
"Lcu.2RBY.Chr1p454893545","LG1",598.42
"Lcu.2RBY.Chr1p470532196","LG1",598.89
"Lcu.2RBY.Chr1p470708288","LG1",599.36
"Lcu.2RBY.Chr1p474613478","LG1",600.31
"Lcu.2RBY.Chr1p474615328","LG1",600.78
"Lcu.2RBY.Chr1p473592252","LG1",602.21
"Lcu.2RBY.Chr1p479337917","LG1",603.62
"Lcu.2RBY.Chr1p475636151","LG1",605.04
"Lcu.2RBY.Chr1p483185979","LG1",606.96
"Lcu.2RBY.Chr1p487609739","LG1",608.4
"Lcu.2RBY.Chr1p483021451","LG1",609.37
"Lcu.2RBY.Chr1p492723198","LG1",609.84
"Lcu.2RBY.Chr1p493084811","LG1",610.81
"Lcu.2RBY.Chr1p489253947","LG1",611.79
"Lcu.2RBY.Chr1p488548653","LG1",613.2
"Lcu.2RBY.Chr1p484938179","LG1",614.14
"Lcu.2RBY.Chr1p487610898","LG1",614.6
"Lcu.2RBY.Chr1p483185606","LG1",615.53
"Lcu.2RBY.Chr1p483127185","LG1",616.96
"Lcu.2RBY.Chr1p459322373","LG1",618.47
"Lcu.2RBY.Chr1p461130378","LG1",620.49
"Lcu.2RBY.Chr1p461130619","LG1",624.54
"Lcu.2RBY.Chr1p441529232","LG1",634.18
"Lcu.2RBY.Chr1p467064994","LG1",643.71
"Lcu.2RBY.Chr1p463377755","LG1",648.99
"Lcu.2RBY.Chr1p459322708","LG1",650.03
"Lcu.2RBY.Chr1p459322617","LG1",651.61
"Lcu.2RBY.Chr1p459322697","LG1",652.66
"Lcu.2RBY.Chr1p487815408","LG1",654.22
"Lcu.2RBY.Chr1p487815375","LG1",655.15
"Lcu.2RBY.Chr1p488548454","LG1",656.1
"Lcu.2RBY.Chr1p488346669","LG1",657.03
"Lcu.2RBY.Chr1p488548577","LG1",657.97
"Lcu.2RBY.Chr1p487037853","LG1",658.92
"Lcu.2RBY.Chr1p488774765","LG1",659.4
"Lcu.2RBY.Chr1p493281412","LG1",659.88
"Lcu.2RBY.Chr1p493275067","LG1",660.38
"Lcu.2RBY.Chr1p480236031","LG1",661.38
"Lcu.2RBY.Chr1p482972257","LG1",662.33
"Lcu.2RBY.Chr1p473145981","LG1",664.28
"Lcu.2RBY.Chr1p474545819","LG1",665.71
"Lcu.2RBY.Chr1p479376735","LG1",666.67
"Lcu.2RBY.Chr1p480296722","LG1",667.62
"Lcu.2RBY.Chr1p480296624","LG1",669.54
"Lcu.2RBY.Chr1p470709407","LG1",672
"Lcu.2RBY.Chr1p470707998","LG1",673.44
"Lcu.2RBY.Chr1p487823287","LG1",675.36
"Lcu.2RBY.Chr1p472248831","LG1",676.81
"Lcu.2RBY.Chr1p493523853","LG1",677.82
"Lcu.2RBY.Chr1p493769290","LG1",678.32
"Lcu.2RBY.Chr1p495489888","LG1",679.81
"Lcu.2RBY.Chr1p497073053","LG1",680.3
"Lcu.2RBY.Chr1p497076632","LG1",680.8
"Lcu.2RBY.Chr1p497076789","LG1",681.79
"Lcu.2RBY.Chr1p499044798","LG1",683.36
"Lcu.2RBY.Chr1p497599212","LG1",684.95
"Lcu.2RBY.Chr1p498205341","LG1",685.96
"Lcu.2RBY.Chr1p502705109","LG1",686.98
"Lcu.2RBY.Chr1p499697917","LG1",687.47
"Lcu.2RBY.Chr1p502673372","LG1",688.5
"Lcu.2RBY.Chr1p502352919","LG1",689.57
"Lcu.2RBY.Chr1p502343286","LG1",690.59
"Lcu.2RBY.Chr1p504622248","LG1",691.59
"Lcu.2RBY.Chr1p503389811","LG1",692.59
"Lcu.2RBY.Chr1p504657361","LG1",693.64
"Lcu.2RBY.Chr1p504969330","LG1",695.77
"Lcu.2RBY.Chr1p506674416","LG1",696.79
"Lcu.2RBY.Chr1p507518857","LG1",698.31
"Lcu.2RBY.Chr1p507519506","LG1",698.8
"Lcu.2RBY.Chr1p507518826","LG1",699.81
"Lcu.2RBY.Chr1p507382426","LG1",700.3
"Lcu.2RBY.Chr1p507382622","LG1",700.81
"Lcu.2RBY.Chr1p508145936","LG1",701.35
"Lcu.2RBY.Chr1p508215935","LG1",701.87
"Lcu.2RBY.Chr1p508220058","LG1",702.86
"Lcu.2RBY.Chr1p508429302","LG1",703.81
"Lcu.2RBY.Chr1p508683226","LG1",704.28
"Lcu.2RBY.Chr1p508518663","LG1",705.25
"Lcu.2RBY.Chr1p508518687","LG1",705.73
"Lcu.2RBY.Chr1p512969595","LG1",706.23
"Lcu.2RBY.Chr1p512965267","LG1",706.71
"Lcu.2RBY.Chr1p508683312","LG1",707.19
"Lcu.2RBY.Chr1p511457149","LG1",707.69
"Lcu.2RBY.Chr1p509342256","LG1",709.39
"Lcu.2RBY.Chr1p508694691","LG1",711.1
"Lcu.2RBY.Chr1p509712101","LG1",713.3
"Lcu.2RBY.Chr1p513048526","LG1",714.84
"Lcu.2RBY.Chr1p513059775","LG1",715.32
"Lcu.2RBY.Chr1p513481718","LG1",716.27
"Lcu.2RBY.Chr1p515713119","LG1",717.24
"Lcu.2RBY.Chr1p515759572","LG1",719.28
"Lcu.2RBY.Chr1p515873169","LG1",720.28
"Lcu.2RBY.Chr1p516419076","LG1",720.76
"Lcu.2RBY.Chr1p516450877","LG1",721.27
"Lcu.2RBY.Chr1p516439875","LG1",722.28
"Lcu.2RBY.Chr1p516418530","LG1",722.78
"Lcu.2RBY.Chr1p517556567","LG1",724.29
"Lcu.2RBY.Chr1p517072619","LG1",725.23
"Lcu.2RBY.Chr1p517072162","LG1",725.68
"Lcu.2RBY.Chr1p519567076","LG1",726.61
"Lcu.2RBY.Chr1p519538269","LG1",727.09
"Lcu.2RBY.Chr1p519538046","LG1",727.6
"Lcu.2RBY.Chr1p519856607","LG1",728.65
"Lcu.2RBY.Chr1p519924885","LG1",729.67
"Lcu.2RBY.Chr1p519927321","LG1",730.18
"Lcu.2RBY.Chr1p520618873","LG1",730.69
"Lcu.2RBY.Chr1p522852337","LG1",731.65
"Lcu.2RBY.Chr1p522962114","LG1",732.6
"Lcu.2RBY.Chr1p523122756","LG1",733.08
"Lcu.2RBY.Chr1p523123364","LG1",733.57
"Lcu.2RBY.Chr1p523123414","LG1",734.07
"Lcu.2RBY.Chr1p523657092","LG1",734.58
"Lcu.2RBY.Chr1p523345147","LG1",737.99
"Lcu.2RBY.Chr1p523345119","LG1",740.21
"Lcu.2RBY.Chr1p523375260","LG1",741.27
"Lcu.2RBY.Chr1p523488545","LG1",743.37
"Lcu.2RBY.Chr1p523656765","LG1",744.45
"Lcu.2RBY.Chr1p523492963","LG1",746.01
"Lcu.2RBY.Chr1p523493007","LG1",747.04
"Lcu.2RBY.Chr1p523493128","LG1",748.1
"Lcu.2RBY.Chr1p523689341","LG1",749.69
"Lcu.2RBY.Chr1p523368768","LG1",750.7
"Lcu.2RBY.Chr1p523368702","LG1",751.2
"Lcu.2RBY.Chr1p523374056","LG1",751.68
"Lcu.2RBY.Chr1p523340855","LG1",752.64
"Lcu.2RBY.Chr1p523341572","LG1",754.1
"Lcu.2RBY.Chr1p523375331","LG1",755.06
"Lcu.2RBY.Chr1p520129290","LG1",756.59
"Lcu.2RBY.Chr1p520296454","LG1",757.59
"Lcu.2RBY.Chr1p520618837","LG1",758.09
"Lcu.2RBY.Chr1p520618757","LG1",758.6
"Lcu.2RBY.Chr1p521631500","LG1",759.09
"Lcu.2RBY.Chr1p522420450","LG1",759.59
"Lcu.2RBY.Chr1p522420196","LG1",760.65
"Lcu.2RBY.Chr1p522565821","LG1",761.7
