"REF_DATE","GEO","DGUID","Summary table","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","51","","","","0"
"2018","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","52","","","","0"
"2019","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","53","","","","0"
"2020","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","57","","","","0"
"2021","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","58","","","","0"
"2000","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","16","","","","0"
"2001","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","17","","","","0"
"2002","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","18","","","","0"
"2003","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","19","","","","0"
"2004","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","20","","","","0"
"2005","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","21","","","","0"
"2006","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","23","","","","0"
"2007","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","25","","","","0"
"2008","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","26","","","","0"
"2009","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","26","","","","0"
"2010","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","27","","","","0"
"2011","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","28","","","","0"
"2012","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","29","","","","0"
"2013","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","31","","","","0"
"2014","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","32","","","","0"
"2015","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","33","","","","0"
"2016","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","33","","","","0"
"2017","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","35","","","","0"
"2018","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","36","","","","0"
"2019","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","37","","","","0"
"2020","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","40","","","","0"
"2021","Canada","2016A11124","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942688","1.25","41","","","","0"
"2000","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","5","","","","0"
"2001","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","6","","","","0"
"2002","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","6","","","","0"
"2003","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","7","","","","0"
"2004","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","8","","","","0"
"2005","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","9","","","","0"
"2006","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","10","","","","0"
"2007","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","11","","","","0"
"2008","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","12","","","","0"
"2009","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","12","","","","0"
"2010","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","12","","","","0"
"2011","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","13","","","","0"
"2012","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","14","","","","0"
"2013","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","15","","","","0"
"2014","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","16","","","","0"
"2015","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","17","","","","0"
"2016","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","17","","","","0"
"2017","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","18","","","","0"
"2018","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","19","","","","0"
"2019","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","19","","","","0"
"2020","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","21","","","","0"
"2021","Canada","2016A11124","Percentage of persons with total income $75,000 and over","Percent","239","units","0","v16942689","1.26","22","","","","0"
"2000","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","2","","","","0"
"2001","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","3","","","","0"
"2002","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","3","","","","0"
"2003","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","3","","","","0"
"2004","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","3","","","","0"
"2005","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","4","","","","0"
"2006","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","4","","","","0"
"2007","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","5","","","","0"
"2008","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","5","","","","0"
"2009","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","5","","","","0"
"2010","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","6","","","","0"
"2011","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","6","","","","0"
"2012","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","7","","","","0"
"2013","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","8","","","","0"
"2014","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","8","","","","0"
"2015","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","8","","","","0"
"2016","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","8","","","","0"
"2017","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","9","","","","0"
"2018","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","10","","","","0"
"2019","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","10","","","","0"
"2020","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","11","","","","0"
"2021","Canada","2016A11124","Percentage of persons with total income $100,000 and over","Percent","239","units","0","v16942690","1.27","12","","","","0"
"2000","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2001","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","14","","","","0"
"2002","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","14","","","","0"
"2003","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","14","","","","0"
"2004","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","14","","","","0"
"2005","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2006","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2007","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2008","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2009","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","16","","","","0"
"2010","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","15","","","","0"
"2011","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","14","","","","0"
"2012","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2013","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","12","","","","0"
"2014","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","12","","","","0"
"2015","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2016","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2017","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","13","","","","0"
"2018","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","12","","","","0"
"2019","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","11","","","","0"
"2020","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","16","","","","0"
"2021","Canada","2016A11124","Percentage of persons with labour income receiving Employment Insurance benefits","Percent","239","units","0","v16942699","1.36","18","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","52","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","55","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","57","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","59","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","61","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","62","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","65","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","69","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","71","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","73","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","74","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","76","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","77","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","77","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","78","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","79","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","79","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","80","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","81","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","81","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","86","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942726","2.22","85","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","32","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","34","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","35","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","37","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","39","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","40","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","42","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","45","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","48","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","49","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","51","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","54","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","56","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","57","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","58","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","59","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","60","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","61","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","62","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","63","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","68","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942727","2.23","69","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","19","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","20","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","22","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","23","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","24","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","25","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","27","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","30","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","33","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","35","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","36","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","39","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","41","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","43","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","44","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","46","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","46","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","47","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","48","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","49","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","52","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942728","2.24","54","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942729","2.25","9","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Percentage of persons with total income $50,000 and over","Percent","239","units","0","v16942729","2.25","10","","","","0"
